conference,feature,n_sessions,n_funded,n_unfunded,funded_mean,unfunded_mean,mean_diff,cohens_d,spearman_any_funded,spearman_funded_rate
2021CMC,overall_link_entropy,18,11,7,66.57179583234335,60.24524304106423,6.326552791279127,0.3052749514620845,0.16474235223499384,0.11811886874844547
2021MND,overall_link_entropy,23,5,18,38.07904122622379,33.39897350225282,4.680067723970964,0.30887689548622405,0.12712834523274563,0.21742520242088875
2021MZT,overall_link_entropy,15,8,7,50.98207303566992,43.51738344862127,7.464689587048653,0.5880831705600894,0.40208322318563217,0.1738576924359755
2021NES,overall_link_entropy,15,10,5,69.3486587526545,57.74408786704224,11.604570885612262,0.4486688175368821,0.26186146828319085,0.04229771058043592
2021SLU,overall_link_entropy,20,10,10,56.79492683846011,62.7492418574707,-5.954315019010593,-0.34339246744586754,-0.12139539573337679,-0.504799328409197
2022MND,overall_link_entropy,11,6,5,59.91292830979904,56.96643829021961,2.9464900195794357,0.1521645297678789,0.11547005383792516,0.29451077524701325
2020NES,weighted_ldi,16,8,8,0.7373783120005633,0.9342623875305813,-0.19688407553001808,-0.35702896808626455,-0.1084652289093281,-0.179893271730765
2021ABI,weighted_ldi,18,10,8,0.7815889794377722,0.8379170649654275,-0.056328085527655336,-0.20635907310264603,-0.08619942318412312,-0.10146389062537868
2021CMC,weighted_ldi,18,11,7,1.5779351932739814,1.4556801270136097,0.12225506626037164,0.23908757875851425,0.14277670527032799,0.10523317397588777
2021MND,weighted_ldi,23,5,18,0.8855625968348001,0.7819943563419368,0.10356824049286328,0.2835932093824832,0.12712834523274563,0.2088987238945794
2021MZT,weighted_ldi,15,8,7,1.2420275927061841,1.0297731940588977,0.21225439864728646,0.6659400592845779,0.5258011380119805,0.2758542053317478
2021NES,weighted_ldi,15,10,5,1.6993869451132053,1.3481100710406853,0.35127687407252006,0.5396459367772448,0.29459415181858967,0.09011251384527652
2021SLU,weighted_ldi,20,10,10,1.378487500824375,1.5297636936862928,-0.15127619286191774,-0.34249902304565844,-0.12139539573337679,-0.504799328409197
2022MND,weighted_ldi,11,6,5,1.4533334670220004,1.358230259677003,0.09510320734499733,0.18958506759902938,0.11547005383792516,0.29451077524701325
