session_id,n_speakers_with_cdp,n_speakers_total,speaker_participation_cdp,total_cdp_score1,total_cdp_score2,gini_score1,gini_score2,conference,any_funded,funded_rate
2022_04_08_MND_S4,5,12,0.4166666666666667,10,7,0.3500000000000001,0.3809523809523809,2022MND,0.0,0.0
2021_06_11_SLU_S9,8,9,0.8888888888888888,28,11,0.5446428571428572,0.4318181818181819,2021SLU,0.0,0.0
2021_06_11_SLU_S13,6,11,0.5454545454545454,31,8,0.586021505376344,0.3333333333333335,2021SLU,0.0,0.0
2021_06_11_SLU_S12,8,9,0.8888888888888888,26,16,0.5192307692307692,0.4000000000000001,2021SLU,0.0,0.0
2022_04_08_MND_S1,9,10,0.9,29,7,0.3922413793103447,0.25,2022MND,0.0,0.0
2021_11_05_NES_S2,8,13,0.6153846153846154,32,12,0.4609375,0.2916666666666667,2021NES,0.0,0.0
2022_04_08_MND_S11,6,10,0.6,35,11,0.4619047619047618,0.2045454545454545,2022MND,0.0,0.0
2021_06_10_SLU_S3,9,11,0.8181818181818182,31,17,0.560483870967742,0.3294117647058823,2021SLU,0.0,0.0
2021_11_05_NES_S3,12,23,0.5217391304347826,57,14,0.5497076023391811,0.3265306122448981,2021NES,0.0,0.0
2021_06_11_SLU_S10,7,10,0.7,23,13,0.4275362318840578,0.25,2021SLU,0.0,0.0
2021_11_05_NES_S7,13,16,0.8125,49,12,0.489795918367347,0.2857142857142858,2021NES,0.0,0.0
2021_11_05_NES_S9,8,11,0.7272727272727273,32,18,0.5535714285714286,0.4888888888888889,2021NES,0.0,0.0
2022_04_07_MND_S2,6,11,0.5454545454545454,29,17,0.3724137931034483,0.4235294117647059,2022MND,0.0,0.0
2021_06_11_SLU_S6,8,9,0.8888888888888888,21,13,0.3630952380952381,0.512820512820513,2021SLU,0.0,0.0
2021_06_10_SLU_S6,6,13,0.4615384615384615,22,8,0.509090909090909,0.3333333333333335,2021SLU,0.0,0.0
2020_11_05_NES_S1,3,12,0.25,7,3,0.3809523809523809,0.1666666666666667,2020NES,0.0,0.0
2021_04_23_MND_S3,5,13,0.3846153846153846,14,3,0.4000000000000001,0.1666666666666667,2021MND,0.0,0.0
2021_11_04_NES_S2,6,11,0.5454545454545454,13,6,0.2884615384615385,0.1333333333333333,2021NES,0.0,0.0
2021_05_21_ABI_S14,6,15,0.4,18,16,0.3777777777777777,0.34375,2021ABI,0.0,0.0
2021_10_08_CMC_S2,6,12,0.5,18,7,0.4814814814814814,0.3571428571428572,2021CMC,0.0,0.0
2021_10_08_CMC_S12,4,9,0.4444444444444444,14,4,0.1071428571428572,0.0,2021CMC,0.0,0.0
2021_10_08_CMC_S11,6,13,0.4615384615384615,16,16,0.4791666666666665,0.5416666666666667,2021CMC,0.0,0.0
