n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,session_id,any_funded,funded_rate
7,0.6406443620727541,0.2857142857142857,0.7142857142857143,0.3647788002847798,1.0,2,-0.2737089131781174,2021_10_01_MZT_S9,,
6,0.6050108695677242,0.3333333333333333,0.6666666666666666,0.5449874255838664,1.0,3,-0.5119185951281604,2021_10_07_CMC_S1,1.0,0.5
8,0.32184007292217537,0.625,0.375,0.5293692824257258,1.0,4,0.024906861125800983,2021_10_07_CMC_S2,1.0,1.0
5,0.8987791486829266,0.0,1.0,0.1251650514737208,0.28459711360368334,0,-0.08964379640166265,2021_10_07_CMC_S3,1.0,0.6666666666666666
5,0.5610596463651065,0.4,0.6,0.712716057225142,1.0,3,-0.3736472274380855,2021_10_07_CMC_S4,1.0,1.0
4,0.36654766114306075,0.5,0.5,0.6713618183633322,0.9182958340544896,3,-0.6443484287956128,2021_10_07_CMC_S5,1.0,0.5
6,0.3587647356708765,0.5,0.5,0.5927733076968783,0.8112781244591328,4,0.051272950104299275,2021_10_07_CMC_S6,,
6,0.46792371042727465,0.5,0.5,0.7556985714036634,0.9709505944546686,4,0.026327380200089512,2021_10_07_CMC_S7,,
8,0.5499584669072208,0.375,0.625,0.555897201397678,0.9182958340544896,4,0.3952107720223509,2021_10_08_CMC_S1,1.0,0.6666666666666666
6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6,1.0,3,0.0,2021_10_08_CMC_S10,,
7,0.5133614424526789,0.42857142857142855,0.5714285714285714,0.3106593564425216,0.9182958340544896,2,-0.35545341648969075,2021_10_08_CMC_S11,0.0,0.0
5,0.27096851353174584,0.6,0.4,0.40563906222956647,0.8112781244591328,2,0.2717822215997982,2021_10_08_CMC_S12,0.0,0.0
6,0.8382752383249481,0.0,1.0,0.16016349097951244,0.2270059646487006,0,-0.0003990507150006817,2021_10_08_CMC_S13,1.0,0.3333333333333333
8,0.6215646684842182,0.125,0.875,0.37486141294406117,0.9182958340544896,4,-0.12361880037265982,2021_10_08_CMC_S14,1.0,0.5
4,0.8189671651985311,0.0,1.0,0.26679762861454653,0.4537052977194982,1,-0.23950942068467218,2021_10_08_CMC_S2,0.0,0.0
6,0.43807500344607714,0.5,0.5,0.5762649967300949,0.9182958340544896,3,-0.8550770933109866,2021_10_08_CMC_S3,1.0,1.0
6,0.6596769269627974,0.16666666666666666,0.8333333333333334,0.4535427362519073,1.0,2,0.2271072068139129,2021_10_08_CMC_S4,1.0,1.0
7,0.574430690075803,0.2857142857142857,0.7142857142857143,0.6283114035399827,0.9182958340544896,4,0.282245263162895,2021_10_08_CMC_S5,1.0,0.6666666666666666
8,0.20673291261225285,0.75,0.25,0.24660587673332315,0.863120568566631,2,-0.39537136616569596,2021_10_08_CMC_S6,0.0,0.0
5,0.8678258803289358,0.0,1.0,0.1264159497865158,0.23579549349137974,0,0.019436042634374706,2021_10_08_CMC_S7,0.0,0.0
5,0.5226997050112672,0.4,0.6,0.8835295901926601,0.9709505944546686,4,-0.6099865470109874,2021_10_08_CMC_S8,0.0,0.0
4,0.7021968685684952,0.25,0.75,0.6573986020550006,1.0,2,0.06865627680775344,2021_10_08_CMC_S9,0.0,0.0
5,0.7210574267321312,0.2,0.8,0.34402501594622176,0.9852281360342516,1,0.9043904365836356,2021_11_04_NES_S1,1.0,0.5
4,0.3645091431832002,0.5,0.5,0.26933805036148223,0.6500224216483541,1,0.7290182863664004,2021_11_04_NES_S2,0.0,0.0
5,0.6132400287369603,0.2,0.8,0.4620891300557832,0.8739810481273578,2,0.1339759350148556,2021_11_04_NES_S3,1.0,0.5
7,0.40393152847950564,0.42857142857142855,0.5714285714285714,0.7446241047163986,0.9182958340544896,6,0.28248225584335424,2021_11_04_NES_S4,,
7,0.21399977801779446,0.7142857142857143,0.2857142857142857,0.24966640768742687,0.9544340029249648,2,-0.2960288537292836,2021_11_04_NES_S5,1.0,0.3333333333333333
5,0.5546353024524368,0.2,0.8,0.49493949740729226,0.863120568566631,2,-0.12487074113986946,2021_11_04_NES_S6,1.0,1.0
11,0.4273388349964082,0.36363636363636365,0.5454545454545454,0.3795097996766973,0.9182958340544896,5,-0.10887069764794932,2021_11_05_NES_S1,1.0,0.25
7,0.4643841773818513,0.42857142857142855,0.5714285714285714,0.2596867029971889,0.8112781244591328,2,0.55037609395045,2021_11_05_NES_S10,1.0,1.0
