session_id,has_facilitator,facilitator_cdp_score1,facilitator_cdp_score2,non_facilitator_cdp_score1,non_facilitator_cdp_score2,conference
2021_06_11_SLU_S4,0,0,0,31,12,2021SLU
2021_06_11_SLU_S5,0,0,0,13,4,2021SLU
2021_06_11_SLU_S6,0,0,0,21,13,2021SLU
2021_06_11_SLU_S7,0,0,0,27,12,2021SLU
2021_06_11_SLU_S8,0,0,0,19,12,2021SLU
2021_06_11_SLU_S9,0,0,0,28,11,2021SLU
2022_04_07_MND_S1,0,0,0,28,5,2022MND
2022_04_07_MND_S2,0,0,0,29,17,2022MND
2022_04_07_MND_S3,0,0,0,12,4,2022MND
2022_04_07_MND_S4,0,0,0,33,3,2022MND
2022_04_07_MND_S5,0,0,0,25,7,2022MND
2022_04_07_MND_S6,0,0,0,19,6,2022MND
2022_04_08_MND_S1,0,0,0,29,7,2022MND
2022_04_08_MND_S10,0,0,0,10,3,2022MND
2022_04_08_MND_S11,0,0,0,35,11,2022MND
2022_04_08_MND_S12,0,0,0,2,0,2022MND
2022_04_08_MND_S2,0,0,0,42,8,2022MND
2022_04_08_MND_S3,0,0,0,22,4,2022MND
2022_04_08_MND_S4,0,0,0,10,7,2022MND
2022_04_08_MND_S5,0,0,0,20,16,2022MND
2022_04_08_MND_S6,0,0,0,1,1,2022MND
2022_04_08_MND_S7,0,0,0,34,9,2022MND
2022_04_08_MND_S8,0,0,0,24,7,2022MND
2022_04_08_MND_S9,0,0,0,34,8,2022MND
