session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2021_10_01_MZT_S8,0.7793498372920852,0.74959525725948,13,14,-0.029754580032605227,0.0,,1,0,,0.595905918112551,0.595905918112551,18,18,0.0,2021MZT
2021_10_01_MZT_S9,0.863120568566631,0.8904916402194913,21,26,0.027371071652860346,1.0,0.9182958340544896,8,3,-0.08170416594551044,0.9798687566511527,0.9798687566511527,12,12,0.0,2021MZT
2021_11_04_NES_S1,0.0,0.0,1,1,0.0,0.9544340029249649,0.9456603046006402,8,11,-0.00877369832432473,0.9587118829771318,0.9182958340544896,21,18,-0.04041604892264228,2021NES
2021_11_04_NES_S2,1.0,1.0,2,2,0.0,0.0,,2,0,,0.7559752426306121,0.7160863263878677,16,18,-0.03988891624274438,2021NES
2021_11_04_NES_S3,0.6421728598552153,0.6421728598552153,39,39,0.0,0.863120568566631,0.0,7,2,-0.863120568566631,0.6583346267480237,0.6623214885612895,24,29,0.003986861813265796,2021NES
2021_11_04_NES_S4,0.6962122601251458,0.6500224216483541,16,12,-0.0461898384767917,0.9544340029249649,0.9182958340544896,8,12,-0.036138168870475385,0.6193821946787638,0.6193821946787638,13,13,0.0,2021NES
2021_11_04_NES_S5,0.9640787648082292,0.9366673818775626,18,17,-0.027411382930666583,1.0,0.9182958340544896,2,3,-0.08170416594551044,0.4394969869215134,0.4394969869215134,11,11,0.0,2021NES
2021_11_04_NES_S6,0.5032583347756457,0.5032583347756457,9,9,0.0,0.7793498372920852,0.7793498372920852,13,13,0.0,0.7315975941709251,0.7315975941709251,17,17,0.0,2021NES
2021_11_05_NES_S1,0.8224042259549891,0.8112781244591328,35,36,-0.011126101495856244,0.0,0.4854607607459134,4,19,0.4854607607459134,0.4266330975838712,0.45616351424737744,49,33,0.029530416663506254,2021NES
2021_11_05_NES_S10,0.5246455665662212,0.4954284041636706,22,24,-0.029217162402550567,0.5435644431995964,0.0,8,2,-0.5435644431995964,0.8997437586982626,0.8865408928220899,19,23,-0.013202865876172698,2021NES
2021_11_05_NES_S11,0.9975025463691153,0.9975025463691153,17,17,0.0,1.0,1.0,2,2,0.0,0.7732266742876346,0.7732266742876346,22,22,0.0,2021NES
2021_11_05_NES_S12,0.8865408928220899,0.8554508105601307,23,25,-0.031090082261959195,0.9544340029249649,1.0,8,6,0.04556599707503506,0.8904916402194913,0.8904916402194913,13,13,0.0,2021NES
2021_11_05_NES_S2,0.9798687566511527,0.8812908992306927,12,10,-0.09857785742045999,0.7725068857142601,0.9544340029249649,9,8,0.18192711721070487,0.7382848661434506,0.6176948489390525,24,27,-0.1205900172043981,2021NES
2021_11_05_NES_S3,0.5465830980043143,0.5205045904698237,25,27,-0.02607850753449059,0.672294817075638,0.5916727785823275,17,21,-0.08062203849331051,0.783776947484701,0.8708644692353646,30,24,0.0870875217506637,2021NES
