conference,session_id,n_meetings,similarity_method,n_chunks_sum,n_moves_sum,funded_rate,any_funded,n_teams,num_funded_teams,outcome_source,n_moves,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021ABI,2021_05_21_ABI_S14,1,lsa,7.0,90.0,0.0,0.0,3.0,,entropy_with_outcomes,90.0,0.42525802831212756,0.170103211324851,0.42525802831212756,0.4252580283121277,0.8058947814825894,0.68027416958211,6.556498108407343,6.106965549069155,6.3204742039760236,18.98393786145252
2021ABI,2021_05_21_ABI_S15,1,lsa,7.0,136.0,0.5,1.0,2.0,,entropy_with_outcomes,136.0,0.74340787102868,0.177063871208232,0.74340787102868,0.74340787102868,0.7562600576064988,0.9471425701453725,11.35079913706292,10.809940921579027,11.4858371739922,33.646577232634144
2021ABI,2021_05_21_ABI_S16,1,lsa,7.0,115.0,,,,,unmatched,115.0,0.663841009246901,0.1750956790444807,0.6638410092469011,0.6638410092469011,0.8591560243726077,1.055915616902766,10.674452534483718,8.875061802365977,10.059646258214718,29.609160595064417
2021ABI,2021_05_21_ABI_S2,1,lsa,8.0,103.0,0.3333333333333333,1.0,3.0,,entropy_with_outcomes,103.0,0.5873027081586779,0.1634923755144427,0.5873027081586779,0.5873027081586779,0.8031850020572001,0.7198179411002718,8.033574453190287,9.128927519248572,8.931653732139848,26.09415570457871
2021ABI,2021_05_21_ABI_S3,1,lsa,8.0,156.0,0.0,0.0,1.0,,entropy_with_outcomes,156.0,0.9677021825069758,0.1845495604781029,0.967702182506976,0.9677021825069758,0.6880708281980872,1.579481400785706,16.827614453585284,13.100254386877603,12.859070891392609,42.7869397318555
2021ABI,2021_05_21_ABI_S4,1,lsa,8.0,155.0,0.0,0.0,2.0,,entropy_with_outcomes,155.0,0.9011928954644756,0.1825946389503185,0.9011928954644756,0.9011928954644756,0.762349236134036,1.047818445379236,14.201315946759452,13.539926828512694,11.939509368704623,39.680752143976775
2021ABI,2021_05_21_ABI_S5,1,lsa,8.0,171.0,,,,,unmatched,171.0,1.1246873278043326,0.1915553118073116,1.1246873278043326,1.1246873278043326,0.7139878869380557,1.6051299938539074,16.417080102904134,15.984853958587149,16.241276283802723,48.643210345294
2021ABI,2021_05_21_ABI_S6,1,lsa,8.0,141.0,,,,,unmatched,141.0,0.9924281649051258,0.1646263191195561,0.9924281649051259,0.9924281649051258,0.8093317990720977,1.3569609171474848,15.045468563823238,14.269857810414,14.016007724400248,43.33133409863749
2021ABI,2021_05_21_ABI_S7,1,lsa,8.0,112.0,0.3333333333333333,1.0,3.0,,entropy_with_outcomes,112.0,0.6240349388946447,0.1801337967943304,0.6240349388946447,0.6240349388946448,0.7920404755996279,0.8400853427061025,9.423818638808465,9.08826380967673,9.138162613971886,27.65024506245708
2021ABI,2021_05_21_ABI_S8,1,lsa,8.0,166.0,0.0,0.0,2.0,,entropy_with_outcomes,166.0,1.0158509950302803,0.1745665270963007,1.0158509950302803,1.0158509950302803,0.7932137390505428,1.435449039476988,17.25882261974138,14.507614157319168,14.67942130093599,46.44585807799654
