session_id,n_utterances,time_pressure_total,decision_closure_total,time_pressure_cdp,decision_closure_cdp,time_pressure_beginning,decision_closure_beginning,time_pressure_middle,decision_closure_middle,time_pressure_end,decision_closure_end,conference
2021_11_04_NES_S4,219,0,3,0,1,0,1,0,0,0,2,2021NES
2021_11_04_NES_S5,187,0,8,0,1,0,3,0,4,0,1,2021NES
2021_11_04_NES_S6,172,0,12,0,11,0,1,0,1,0,10,2021NES
2021_11_05_NES_S1,382,1,3,1,2,0,1,0,1,1,1,2021NES
2021_11_05_NES_S10,276,1,5,1,0,0,1,0,2,1,2,2021NES
2021_11_05_NES_S11,148,1,0,1,0,0,0,0,0,1,0,2021NES
2021_11_05_NES_S12,255,3,6,2,3,0,1,1,2,2,3,2021NES
2021_11_05_NES_S2,163,1,1,1,0,0,0,0,1,1,0,2021NES
2021_11_05_NES_S3,315,1,6,1,3,0,2,1,2,0,2,2021NES
2021_11_05_NES_S4,225,1,3,0,1,0,2,0,0,1,1,2021NES
2021_11_05_NES_S5,299,2,4,1,2,0,2,1,0,1,2,2021NES
2021_11_05_NES_S6,339,1,7,0,5,0,2,1,3,0,2,2021NES
2021_11_05_NES_S7,347,0,0,0,0,0,0,0,0,0,0,2021NES
2021_11_05_NES_S8,148,0,1,0,0,0,0,0,1,0,0,2021NES
2021_11_05_NES_S9,266,0,0,0,0,0,0,0,0,0,0,2021NES
2021_06_10_SLU_S1,213,1,3,1,2,0,0,0,1,1,2,2021SLU
2021_06_10_SLU_S2,190,0,1,0,1,0,0,0,0,0,1,2021SLU
2021_06_10_SLU_S3,178,0,7,0,0,0,5,0,1,0,1,2021SLU
2021_06_10_SLU_S4,308,1,2,1,1,0,1,0,0,1,1,2021SLU
2021_06_10_SLU_S5,202,0,2,0,2,0,0,0,0,0,2,2021SLU
2021_06_10_SLU_S6,249,1,1,1,0,0,1,0,0,1,0,2021SLU
2021_06_10_SLU_S7,205,0,4,0,2,0,3,0,1,0,0,2021SLU
2021_06_11_SLU_S1,269,1,5,1,3,0,2,0,1,1,2,2021SLU
2021_06_11_SLU_S10,246,0,2,0,1,0,0,0,0,0,2,2021SLU
2021_06_11_SLU_S11,201,2,4,2,1,0,0,0,1,2,3,2021SLU
2021_06_11_SLU_S12,257,0,5,0,3,0,3,0,1,0,1,2021SLU
2021_06_11_SLU_S13,257,0,3,0,2,0,2,0,1,0,0,2021SLU
2021_06_11_SLU_S2,247,1,1,1,0,0,0,0,0,1,1,2021SLU
2021_06_11_SLU_S3,229,0,1,0,0,0,1,0,0,0,0,2021SLU
2021_06_11_SLU_S4,209,0,1,0,1,0,1,0,0,0,0,2021SLU
2021_06_11_SLU_S5,180,0,1,0,0,0,0,0,0,0,1,2021SLU
2021_06_11_SLU_S6,253,0,1,0,1,0,0,0,0,0,1,2021SLU
2021_06_11_SLU_S7,199,2,3,1,1,1,0,0,1,1,2,2021SLU
2021_06_11_SLU_S8,262,0,2,0,0,0,0,0,1,0,1,2021SLU
2021_06_11_SLU_S9,260,0,4,0,1,0,2,0,1,0,1,2021SLU
2022_04_07_MND_S1,283,1,2,1,1,0,0,0,1,1,1,2022MND
2022_04_07_MND_S2,271,0,4,0,2,0,0,0,2,0,2,2022MND
2022_04_07_MND_S3,141,0,0,0,0,0,0,0,0,0,0,2022MND
2022_04_07_MND_S4,257,0,4,0,1,0,1,0,2,0,1,2022MND
2022_04_07_MND_S5,258,0,3,0,1,0,1,0,2,0,0,2022MND
2022_04_07_MND_S6,234,2,2,2,1,0,0,0,1,2,1,2022MND
2022_04_08_MND_S1,230,0,3,0,2,0,0,0,1,0,2,2022MND
2022_04_08_MND_S10,197,1,2,1,2,0,0,0,0,1,2,2022MND
2022_04_08_MND_S11,211,0,2,0,2,0,0,0,0,0,2,2022MND
2022_04_08_MND_S12,12,0,0,0,0,0,0,0,0,0,0,2022MND
2022_04_08_MND_S2,312,1,3,1,2,0,1,0,0,1,2,2022MND
2022_04_08_MND_S3,281,3,5,1,1,0,1,0,2,3,2,2022MND
2022_04_08_MND_S4,216,1,2,1,0,0,1,0,1,1,0,2022MND
2022_04_08_MND_S5,255,1,1,1,0,0,1,0,0,1,0,2022MND
2022_04_08_MND_S6,6,0,0,0,0,0,0,0,0,0,0,2022MND
2022_04_08_MND_S7,259,0,7,0,2,0,1,0,4,0,2,2022MND
2022_04_08_MND_S8,365,1,1,1,0,0,0,0,1,1,0,2022MND
2022_04_08_MND_S9,273,0,3,0,1,0,3,0,0,0,0,2022MND
