session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2021_10_08_CMC_S7,151,0,12,0.0,469.0,3408.0,0.0,0.13761737089201878,0.0,199.0,1190.0,0.0,0.1672268907563025,2021CMC
2021_10_08_CMC_S8,173,0,22,0.0,857.0,3493.0,0.0,0.24534783853421127,0.0,517.0,1198.0,0.0,0.4315525876460768,2021CMC
2021_10_08_CMC_S9,184,0,17,0.0,596.0,2601.0,0.0,0.22914263744713573,0.0,132.0,780.0,0.0,0.16923076923076924,2021CMC
2021_04_22_MND_S1,199,1,19,48.0,572.0,3770.0,0.01273209549071618,0.15172413793103448,0.0,114.0,1152.0,0.0,0.09895833333333333,2021MND
2021_04_22_MND_S2,1,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,2021MND
2021_04_22_MND_S3,163,0,10,0.0,195.0,3240.0,0.0,0.06018518518518518,0.0,97.0,982.0,0.0,0.09877800407331976,2021MND
2021_04_22_MND_S4,240,0,16,0.0,444.0,3396.0,0.0,0.13074204946996468,0.0,242.0,1066.0,0.0,0.2270168855534709,2021MND
2021_04_22_MND_S5,222,0,15,0.0,550.0,3804.0,0.0,0.14458464773922186,0.0,427.0,1197.0,0.0,0.3567251461988304,2021MND
2021_04_22_MND_S6,228,0,18,0.0,722.0,3809.0,0.0,0.18955106327119978,0.0,130.0,965.0,0.0,0.13471502590673576,2021MND
2021_04_22_MND_S7,187,0,25,0.0,792.0,3553.0,0.0,0.22291021671826625,0.0,367.0,1142.0,0.0,0.3213660245183888,2021MND
2021_04_22_MND_S8,201,1,13,2.0,567.0,3388.0,0.0005903187721369539,0.16735537190082644,0.0,127.0,998.0,0.0,0.12725450901803606,2021MND
2021_04_23_MND_S1,153,0,18,0.0,682.0,2951.0,0.0,0.23110809894950865,0.0,403.0,1247.0,0.0,0.3231756214915798,2021MND
2021_04_23_MND_S10,223,1,17,5.0,584.0,3254.0,0.0015365703749231714,0.17947141979102643,0.0,384.0,1106.0,0.0,0.3471971066907776,2021MND
2021_04_23_MND_S11,214,0,20,0.0,606.0,3105.0,0.0,0.19516908212560385,0.0,341.0,881.0,0.0,0.3870601589103292,2021MND
2021_04_23_MND_S12,193,0,20,0.0,642.0,3673.0,0.0,0.17478900081677104,0.0,86.0,1146.0,0.0,0.07504363001745201,2021MND
2021_04_23_MND_S13,209,0,20,0.0,776.0,3161.0,0.0,0.24549193293261626,0.0,358.0,1084.0,0.0,0.33025830258302585,2021MND
2021_04_23_MND_S14,204,0,25,0.0,758.0,3329.0,0.0,0.22769600480624813,0.0,256.0,901.0,0.0,0.28412874583795783,2021MND
2021_04_23_MND_S15,213,0,21,0.0,479.0,3105.0,0.0,0.15426731078904993,0.0,152.0,1086.0,0.0,0.13996316758747698,2021MND
2021_04_23_MND_S16,186,1,15,153.0,512.0,3101.0,0.04933892292808771,0.16510802966784907,153.0,133.0,1073.0,0.14259086672879775,0.1239515377446412,2021MND
2021_04_23_MND_S2,218,0,16,0.0,341.0,2952.0,0.0,0.1155149051490515,0.0,109.0,863.0,0.0,0.12630359212050984,2021MND
2021_04_23_MND_S3,134,0,12,0.0,388.0,2643.0,0.0,0.14680287552024215,0.0,135.0,839.0,0.0,0.16090584028605484,2021MND
2021_04_23_MND_S4,182,0,27,0.0,727.0,3315.0,0.0,0.21930618401206636,0.0,96.0,971.0,0.0,0.09886714727085479,2021MND
2021_04_23_MND_S5,176,0,14,0.0,359.0,3166.0,0.0,0.11339229311433986,0.0,133.0,730.0,0.0,0.1821917808219178,2021MND
2021_04_23_MND_S6,259,0,23,0.0,492.0,3090.0,0.0,0.15922330097087378,0.0,106.0,862.0,0.0,0.12296983758700696,2021MND
