conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021ABI,output_2021_05_20_ABI_S8,output_2021_05_20_ABI_S8__botB2_2021_05_20_12_34_37,8,202.0,0.35,lsa,20301.0,1419.0,263.2902909602603,1.3034172819814864,0.18554636431307983,1.3034172819814862,1.3034172819814864,0.8075915085622604,1.773198000238216,19.60706645478377,19.332357275321243,18.004151784430817,56.94357551453583
2021ABI,output_2021_05_21_ABI_S1,output_2021_05_21_ABI_S1__Bot_4_Breakout_Session_2_2021_05_21_10_58_43,8,173.0,0.35,lsa,14878.0,1146.0,192.3488645823177,1.1118431478746689,0.16784368637200497,1.1118431478746686,1.1118431478746686,0.7051238578947872,1.3361013597314835,16.37546198231587,16.178051872814248,16.674255489211575,49.227769344341695
2021ABI,output_2021_05_21_ABI_S10,output_2021_05_21_ABI_S10__bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25,7,123.0,0.35,lsa,7503.0,520.0,99.22634495223983,0.8067182516442263,0.19081989413892275,0.8067182516442262,0.8067182516442263,0.7296115374303798,1.0222695425224322,12.197093735838614,11.822633945142465,10.61933831255324,34.63906599353432
2021ABI,output_2021_05_21_ABI_S11,output_2021_05_21_ABI_S11__bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16,7,149.0,0.35,lsa,11026.0,630.0,117.4860149866534,0.7884967448768685,0.18648573807405303,0.7884967448768685,0.7884967448768684,0.74153027379449,1.1221006376580616,12.526024362541213,11.519722595489188,11.126923560476854,35.17267051850725
2021ABI,output_2021_05_21_ABI_S12,output_2021_05_21_ABI_S12__bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM,7,181.0,0.35,lsa,16290.0,1047.0,229.77691022998135,1.26948569187835,0.21946218742118562,1.2694856918783497,1.26948569187835,0.8424097226342686,1.5190787739791232,17.79330941940156,17.206425512309796,16.60202005231645,51.60175498402781
2021ABI,output_2021_05_21_ABI_S13,output_2021_05_21_ABI_S13__bot6p3_Zoom_Meeting_Room_6_2021_05_21_13_12_29,7,132.0,0.35,lsa,8646.0,467.0,94.55901329510341,0.716356161326541,0.2024818271843756,0.7163561613265411,0.7163561613265411,0.8044551699773753,0.6090624096864388,9.800594175667579,11.191559348925006,9.454030572909462,30.446184097502048
2021ABI,output_2021_05_21_ABI_S14,output_2021_05_21_ABI_S14__botB1_2021_05_21_13_09_38,7,90.0,0.35,lsa,4005.0,225.0,38.27322254809149,0.42525802831212767,0.17010321132485107,0.42525802831212767,0.4252580283121277,0.8058947814825894,0.68027416958211,6.556498108407343,6.106965549069155,6.3204742039760236,18.98393786145252
2021ABI,output_2021_05_21_ABI_S15,output_2021_05_21_ABI_S15__botB3_2021_05_21_13_09_30,7,136.0,0.35,lsa,9180.0,571.0,101.10347045990048,0.74340787102868,0.177063871208232,0.74340787102868,0.74340787102868,0.7562600576064988,0.9471425701453724,11.350799137062921,10.809940921579027,11.485837173992199,33.646577232634144
2021ABI,output_2021_05_21_ABI_S16,output_2021_05_21_ABI_S16__Breakout_Room_4_Session_3_2021_04_23_13_13_06,7,115.0,0.35,lsa,6555.0,436.0,76.34171606339362,0.663841009246901,0.17509567904448078,0.6638410092469011,0.6638410092469011,0.8591560243726076,1.0559156169027661,10.674452534483718,8.875061802365977,10.059646258214721,29.609160595064417
2021ABI,output_2021_05_21_ABI_S2,output_2021_05_21_ABI_S2__bot1_2021_05_21_10_57_19,8,103.0,0.35,lsa,5253.0,370.0,60.49217894034382,0.5873027081586779,0.16349237551444276,0.5873027081586779,0.5873027081586779,0.8031850020572001,0.7198179411002718,8.033574453190287,9.128927519248572,8.931653732139848,26.09415570457871
