n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,first_third_entropy,last_third_entropy,session_id,any_funded,funded_rate
9,0.1700653634845705,0.7777777777777778,0.2222222222222222,0.19132353392014181,0.9640787648082292,2,-0.13252308608510796,0.32135958826940975,0.18883650218430179,2022_04_07_MND_S2,0.0,0.0
11,0.22714337351811942,0.7272727272727273,0.2727272727272727,0.3553298027623903,1.0,4,-0.25888300460398384,0.25888300460398384,0.0,2021_10_08_CMC_S6,0.0,0.0
7,0.3770390456713167,0.5714285714285714,0.42857142857142855,0.5976113250094004,0.9709505944546686,4,-0.24483259893154685,0.4854752972273343,0.24064269829578744,2021_10_08_CMC_S8,0.0,0.0
4,0.6804820237218405,0.25,0.75,0.5187146034084251,1.0,1,0.8609640474436812,0.0,0.8609640474436812,2020_11_05_NES_S1,0.0,0.0
9,0.39927853815254827,0.5555555555555556,0.4444444444444444,0.3913278830562755,1.0,3,0.009683135181777214,0.5940762396379338,0.603759374819711,2021_06_11_SLU_S6,0.0,0.0
7,0.5880478162772155,0.2857142857142857,0.7142857142857143,0.4413116320946853,0.8112781244591328,3,-0.21121666264600247,0.7877413154838766,0.5765246528378741,2021_10_01_MZT_S8,0.0,0.0
7,0.5389120651504872,0.2857142857142857,0.7142857142857143,0.4646626338758623,0.8175195311866703,5,0.024588515505567565,0.40875976559333516,0.4333482810989027,2021_05_20_ABI_S5,0.0,0.0
6,0.273370654823642,0.6666666666666666,0.3333333333333333,0.47243040476584286,0.9182958340544896,3,0.09818386958356362,0.36096404744368116,0.4591479170272448,2021_04_23_MND_S9,0.0,0.0
10,0.19636232951180438,0.7,0.3,0.29191130521548664,0.7219280948873623,4,0.3104238000576704,0.0,0.3104238000576704,2021_04_23_MND_S7,0.0,0.0
9,0.35306632152832473,0.5555555555555556,0.4444444444444444,0.6464810287931488,0.9709505944546686,6,0.12642593862411372,0.1972242595274425,0.3236501981515562,2021_04_23_MND_S6,0.0,0.0
5,0.5245112497836532,0.4,0.6,0.29718046888521676,0.8112781244591328,1,0.9056390622295665,0.0,0.9056390622295665,2021_04_23_MND_S3,0.0,0.0
11,0.3309294480856229,0.6363636363636364,0.36363636363636365,0.5836591668108979,1.0,6,0.12438341237034406,0.3060986113514965,0.4304820237218406,2021_04_23_MND_S16,0.0,0.0
5,0.739942447335122,0.2,0.8,0.5,0.9182958340544896,2,-0.4591479170272448,0.9182958340544896,0.4591479170272448,2021_04_23_MND_S12,0.0,0.0
9,0.2544718167322451,0.6666666666666666,0.3333333333333333,0.2772925846688997,0.7219280948873623,3,0.3300671690978326,0.21667414054945136,0.546741309647284,2021_04_23_MND_S1,0.0,0.0
7,0.2587540177798761,0.7142857142857143,0.2857142857142857,0.603759374819711,1.0,4,0.2704260414863776,0.0,0.2704260414863776,2021_04_22_MND_S8,0.0,0.0
8,0.3383945288652017,0.625,0.375,0.6306160659776039,1.0,5,0.5739760316291208,0.0,0.5739760316291208,2021_04_22_MND_S7,0.0,0.0
4,0.2028195311147832,0.75,0.25,0.5408520829727552,0.8112781244591328,2,0.4056390622295664,0.0,0.4056390622295664,2021_04_22_MND_S3,0.0,0.0
7,0.4168994048649271,0.5714285714285714,0.42857142857142855,0.6530493056757483,1.0,4,-0.19390138864850348,0.5,0.3060986113514965,2020_11_06_NES_S8,0.0,0.0
5,0.5836591668108979,0.4,0.6,0.7704260414863776,1.0,3,-0.41829583405448956,0.9182958340544896,0.5,2020_11_06_NES_S7,0.0,0.0
4,0.7091479170272448,0.25,0.75,0.36056805531517017,1.0,1,0.9182958340544896,0.0,0.9182958340544896,2020_11_06_NES_S4,0.0,0.0
6,0.6031367311704635,0.3333333333333333,0.6666666666666666,0.7237640774045562,0.9182958340544896,4,-0.5389841520250127,0.9446232142545791,0.4056390622295664,2020_11_06_NES_S2,0.0,0.0
2,0.5,0.5,0.5,1.0,1.0,1,0.0,0.5,0.5,2020_11_05_NES_S6,0.0,0.0
8,0.46787946874452924,0.375,0.5,0.4344665693253728,1.0,4,0.021052358734823556,0.1956217818146278,0.21667414054945136,2021_05_20_ABI_S2,0.0,0.0
8,0.5964612180753479,0.25,0.75,0.4449916916021671,0.9910760598382222,4,0.04564606316331832,0.7646946861307391,0.8103407492940574,2021_05_20_ABI_S8,0.0,0.0
10,0.5150192541578669,0.4,0.6,0.5827687655029613,1.0,5,-0.26439161066110417,0.7439655691747266,0.4795739585136224,2021_10_01_MZT_S2,0.0,0.0
11,0.2629872155558467,0.7272727272727273,0.2727272727272727,0.4824482137505751,0.9852281360342516,5,0.1624934900235674,0.320412201574292,0.4829056915978594,2021_05_21_ABI_S14,0.0,0.0
8,0.2099085118038406,0.75,0.25,0.4797908841230642,0.9544340029249648,4,-0.2356056376272291,0.4772170014624824,0.2416113638352533,2021_10_01_MZT_S1,0.0,0.0
5,0.144966818301152,0.8,0.2,0.36241704575288,0.72483409150576,2,0.0,0.0,0.0,2021_09_30_MZT_S4,0.0,0.0
9,0.2889773527352888,0.6666666666666666,0.3333333333333333,0.6501990436543998,0.9182958340544896,6,0.0,0.3060986113514965,0.3060986113514965,2021_09_30_MZT_S3,0.0,0.0
4,0.49273764861366715,0.5,0.5,0.6569835314848895,1.0,2,-0.4709505944546686,0.9709505944546686,0.5,2021_09_30_MZT_S2,0.0,0.0
10,0.3433915617822527,0.6,0.4,0.20808109299771715,0.9182958340544896,2,-0.6089659694090568,0.8385399279226792,0.2295739585136224,2021_06_11_SLU_S9,0.0,0.0
1,0.7219280948873623,0.0,1.0,0.0,0.0,0,0.0,0.7219280948873623,0.7219280948873623,2020_11_05_NES_S2,0.0,0.0
8,0.4153446198621748,0.5,0.375,0.9032509941281999,1.0,7,0.17195485388463416,0.16137847944869915,0.3333333333333333,2021_06_11_SLU_S13,0.0,0.0
10,0.4423725785231949,0.5,0.5,0.29851535561549764,1.0,3,-0.5120621824491096,0.9245677878611982,0.4125056054120885,2021_06_11_SLU_S12,0.0,0.0
7,0.6359421279555654,0.2857142857142857,0.7142857142857143,0.5466565317024826,0.9940302114769564,4,-0.19227750705960256,0.8220263165626552,0.6297488095030527,2021_06_11_SLU_S10,0.0,0.0
9,0.5004618682001294,0.4444444444444444,0.5555555555555556,0.4216917186688699,1.0,4,-0.7496741665224355,0.9903168648182229,0.24064269829578744,2021_06_10_SLU_S6,0.0,0.0
13,0.38366582383016706,0.5384615384615384,0.46153846153846156,0.36477857537982156,0.9182958340544896,5,0.10723949701509411,0.40446445558417415,0.5117039525992683,2021_06_10_SLU_S3,0.0,0.0
9,0.3978191318745361,0.5555555555555556,0.4444444444444444,0.6235874260360622,1.0,6,-0.13234220990205658,0.6628998027628324,0.5305575928607759,2021_05_21_ABI_S9,0.0,0.0
9,0.5123527248218356,0.4444444444444444,0.5555555555555556,0.6524966367527469,1.0,5,0.2678774202776243,0.3060986113514965,0.5739760316291208,2021_05_21_ABI_S8,0.0,0.0
11,0.24618053783612154,0.7272727272727273,0.2727272727272727,0.4497675998340185,1.0,5,-0.05609861135149652,0.3060986113514965,0.25,2021_05_21_ABI_S4,0.0,0.0
11,0.41566972673581193,0.5454545454545454,0.45454545454545453,0.37076765296822567,1.0,4,0.4802804395421669,0.23589217656075204,0.7161726161029189,2021_05_21_ABI_S3,0.0,0.0
9,0.34515717483489944,0.5555555555555556,0.4444444444444444,0.2976282470019155,0.9182958340544896,4,0.5541861279131235,0.24064269829578744,0.7948288262089109,2022_04_08_MND_S8,0.0,0.0
4,0.25,0.75,0.25,0.3333333333333333,1.0,1,-1.0,1.0,0.0,2020_11_06_NES_S10,,
8,0.4746026732462175,0.5,0.5,0.6792696431662097,1.0,5,0.1802840276575851,0.4591479170272448,0.6394319446848299,2021_04_22_MND_S5,,
