conference,session_id,meeting_id,chunk_index,chunk_file,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,6,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,36.0,0.35,lsa,630.0,14.0,3.650402907577811,0.1014000807660503,0.2607430648269865,0.10140008076605028,0.1014000807660503,0.8540394211718146,0.15255687080760674,2.153415980605805,1.3171260845616113,0.9002472249227887,4.3707892900902054
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,1,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk1.json,23.0,0.35,lsa,253.0,2.0,0.8190437971540272,0.03561059987626205,0.4095218985770136,0.03561059987626205,0.03561059987626205,1.0,0.07445852701400248,0.8573338380784181,0.28751199297494,0.3002023746391311,1.4450482056924894
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,2,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json,9.0,0.35,lsa,36.0,2.0,0.46005500232859575,0.051117222480955085,0.23002750116429788,0.051117222480955085,0.051117222480955085,0.5305885230103332,0.09201100046571915,0.5213672984207425,0.5551064940602758,0.44405688948485644,1.5205306819658746
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,1,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk1.json,10.0,0.35,lsa,45.0,2.0,0.42680467398899846,0.04268046739889984,0.21340233699449923,0.04268046739889984,0.04268046739889984,0.736577487799331,0.028107489860292385,0.3312917527527508,0.5038078749422589,0.4238692453834695,1.2589688730784792
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,2,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk2.json,14.0,0.35,lsa,91.0,3.0,0.1319979401444437,0.009428424296031692,0.04399931338148123,0.009428424296031692,0.009428424296031692,0.5728550610384434,0.015497074265764223,0.10924529041035007,0.14859560050493298,0.17112835050642444,0.4289692414217075
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,3,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk3.json,22.0,0.35,lsa,231.0,4.0,0.7367251737262439,0.03348750789664745,0.18418129343156098,0.03348750789664745,0.03348750789664745,0.7860019655631326,0.07247718910183508,0.5500256096755879,0.3398880547093939,0.30178691687650416,1.191700581261486
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,4,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk4.json,29.0,0.35,lsa,406.0,3.0,0.5677566261712214,0.019577814695559356,0.18925220872374046,0.019577814695559356,0.019577814695559356,0.0,-0.04628405521520656,0.20817119433423645,0.6753639028705981,0.16922831609493594,1.0527634132997705
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,5,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk5.json,19.0,0.35,lsa,171.0,2.0,0.10003651800151162,0.0052650798948164,0.05001825900075581,0.0052650798948164,0.0052650798948164,0.4089158361694945,0.010003651800151161,0.06399063462158008,0.06878667174096775,0.14389571630006698,0.27667302266261484
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,6,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk6.json,10.0,0.35,lsa,45.0,1.0,0.9976749531568812,0.09976749531568811,0.9976749531568812,0.09976749531568811,0.09976749531568811,0.0,0.19953499063137622,0.9175188679375977,0.5427479817965256,0.5427479817965256,2.003014831530649
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,1,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk1.json,15.0,0.35,lsa,105.0,2.0,0.4421763338363898,0.02947842225575932,0.2210881669181949,0.02947842225575932,0.02947842225575932,1.0,-0.06926674369093959,0.2416044126146444,0.6213926665274941,0.21553536274770008,1.0785324418898385
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk2.json,9.0,0.35,lsa,36.0,3.0,0.36091544085793215,0.04010171565088135,0.12030514695264405,0.04010171565088135,0.04010171565088135,1.0,0.030474842239028556,0.3293169541946848,0.46968196182490896,0.5365909160655282,1.335589832085122
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,1,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk1.json,14.0,0.35,lsa,91.0,1.0,0.8322952812951853,0.05944966294965609,0.8322952812951853,0.05944966294965609,0.05944966294965609,0.0,0.0,0.44468495626026555,0.5808659129380317,0.36352302844383017,1.3890738976421275
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk2.json,14.0,0.35,lsa,91.0,2.0,0.449091057147816,0.03207793265341543,0.224545528573908,0.03207793265341543,0.03207793265341543,0.0,0.019316696770322283,0.36019373923162457,0.32290321708447073,0.2834513047517764,0.9665482610678717
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,3,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk3.json,15.0,0.35,lsa,105.0,3.0,0.3048444451233658,0.020322963008224386,0.10161481504112192,0.020322963008224386,0.020322963008224386,0.4324888955491419,-0.0004914164926980609,0.42154453934093533,0.35740676456807974,0.19800661442525708,0.976957918334272
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,4,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk4.json,22.0,0.35,lsa,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,5,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk5.json,14.0,0.35,lsa,91.0,2.0,0.4757933534657996,0.0339852395332714,0.2378966767328998,0.0339852395332714,0.0339852395332714,1.0,0.09515867069315992,0.5263303222838456,0.2814545970194216,0.2880542377092823,1.0958391570125494
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,6,2020NES/output_2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk6.json,41.0,0.35,lsa,820.0,12.0,3.7556583996828516,0.09160142438250858,0.3129715333069043,0.09160142438250858,0.09160142438250858,0.9967741667682043,0.003028226819955876,1.6479430818496348,1.5068191759775895,0.648938097818857,3.8037003556460816
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,1,2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14_chunk1.json,11.0,0.35,lsa,55.0,4.0,0.9157756606623269,0.08325233278748426,0.2289439151655817,0.08325233278748426,0.08325233278748426,0.9074839590237835,-0.14373222297675833,0.441713721576943,1.5924218340630283,0.7992224465103355,2.833358002150307
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,2,2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14_chunk2.json,6.0,0.35,lsa,15.0,2.0,0.9394397186641648,0.15657328644402746,0.4697198593320824,0.15657328644402746,0.15657328644402746,1.0,0.21650304180361932,0.6970322340122617,1.0435647622967616,0.678731517843068,2.4193285141520913
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39,1,2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39_chunk1.json,22.0,0.35,lsa,231.0,5.0,2.0303216478880284,0.09228734763127401,0.4060643295776057,0.09228734763127401,0.09228734763127401,0.5984544376328854,-0.15397795135520664,0.6860664427933473,1.3870886352016039,0.841145339659318,2.9143004176542693
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39,2,2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39_chunk2.json,27.0,0.35,lsa,351.0,4.0,0.5169477565172763,0.01914621320434357,0.12923693912931908,0.01914621320434357,0.01914621320434357,0.06624890339378736,-0.022394406342921367,0.18713656216375021,0.25512315424557236,0.2642999501972123,0.7065596666065349
