conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy,session_id_norm,meeting_base,registry_session_key,funded_rate,any_funded,n_teams,registry_rows,registry_num_teams,registry_num_funded_teams,registry_any_funded,registry_has_teams,registry_funded_rate,funded_rate_entropy,any_funded_entropy,n_teams_entropy,num_funded_teams,outcome_source
2020NES,output_2020_11_06_NES_S3,output_2020_11_06_NES_S3__2020_11_06_10_47_07,4,129.0,0.35,lsa,8256.0,552.0,117.7143597518806,0.912514416681245,0.2132506517244214,0.912514416681245,0.912514416681245,0.8313919176347592,1.256978207902333,12.403035565378024,13.493484294239575,12.682528726997552,38.57904858661515,2020_11_06_NES_S3,2020_11_06_10_47_07,2020_11_06_NES_S3/2020_11_06_10_47_07,0.6666666666666666,1.0,3.0,4.0,3.0,2.0,1.0,True,0.6666666666666666,0.6666666666666666,1.0,3.0,2.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S4,output_2020_11_06_NES_S4__Zoom_Meeting_2020_11_06_10_09_38,4,82.0,0.35,lsa,3321.0,208.0,47.67565417004813,0.581410416707904,0.2292098758175391,0.581410416707904,0.5814104167079042,0.8158356593129757,0.7111817362594756,8.661643284089497,7.8308841640345985,7.5794959916281694,24.072023439752265,2020_11_06_NES_S4,Zoom_Meeting_2020_11_06_10_09_38,2020_11_06_NES_S4/Zoom_Meeting_2020_11_06_10_09_38,0.0,0.0,2.0,8.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S4,output_2020_11_06_NES_S4__Zoom_Meeting_2020_11_06_10_43_41,4,81.0,0.35,lsa,3240.0,270.0,43.36529732915693,0.5353740411007029,0.1606122123302108,0.5353740411007029,0.535374041100703,0.7488797224121414,0.9246330745425632,8.532762452134627,7.139378612951316,6.846306164005195,22.518447229091137,2020_11_06_NES_S4,Zoom_Meeting_2020_11_06_10_43_41,2020_11_06_NES_S4/Zoom_Meeting_2020_11_06_10_43_41,0.0,0.0,2.0,8.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S7,output_2020_11_06_NES_S7__1_beyond_co2_Zoom_Meeting_2020_11_06_12_11_55,6,124.0,0.35,lsa,7626.0,565.0,102.6127704382015,0.8275223422435605,0.1816155228994716,0.8275223422435605,0.8275223422435606,0.7858693628295697,1.2330311664819515,12.92340303829354,12.285476783929171,12.016543622216764,37.22542344443948,2020_11_06_NES_S7,1_beyond_co2_Zoom_Meeting_2020_11_06_12_11_55,2020_11_06_NES_S7/1_beyond_co2_Zoom_Meeting_2020_11_06_12_11_55,0.0,0.0,2.0,8.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S8,output_2020_11_06_NES_S8__2020_11_06_12_09_28,8,226.0,0.35,lsa,25425.0,2347.0,418.2720562288529,1.8507613107471368,0.1782156183335547,1.8507613107471368,1.850761310747136,0.7662604891880048,2.6190569181417187,28.606412041009985,25.575112547607628,25.327904146631035,79.50942873524863,2020_11_06_NES_S8,2020_11_06_12_09_28,2020_11_06_NES_S8/2020_11_06_12_09_28,0.0,0.0,2.0,8.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S9,output_2020_11_06_NES_S9__2020_11_06_12_09_40,8,199.0,0.35,lsa,19701.0,1656.0,284.21214505754057,1.4282017339574904,0.1716256914598675,1.4282017339574904,1.4282017339574906,0.7563055433938258,1.933096944133516,21.73538379381602,18.457547463217352,19.898405038447585,60.09133629548096,2020_11_06_NES_S9,2020_11_06_12_09_40,2020_11_06_NES_S9/2020_11_06_12_09_40,1.0,1.0,2.0,8.0,2.0,2.0,1.0,True,1.0,1.0,1.0,2.0,2.0,chunk_registry_v1
2021ABI,output_2021_05_20_ABI_S1,output_2021_05_20_ABI_S1__Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM,7,107.0,0.35,lsa,5671.0,368.0,57.05611296847979,0.533234700639998,0.1550437852404342,0.5332347006399981,0.5332347006399981,0.7543719703012947,0.551850388030009,7.397405047555447,8.254965434719786,8.17279161216547,23.825162094440703,2021_05_20_ABI_S1,Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM,2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM,,,,,,,,,,,,,,unmatched
2021ABI,output_2021_05_20_ABI_S2,output_2021_05_20_ABI_S2__Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53,5,93.0,0.35,lsa,4278.0,240.0,55.309387235809666,0.5947245939334372,0.2304557801492069,0.5947245939334372,0.5947245939334371,0.7954934854150889,0.8891326565978238,8.911541072337853,7.881390761263491,8.04027782261212,24.833209656213462,2021_05_20_ABI_S2,Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53,2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53,0.0,0.0,1.0,,,,,,,0.0,0.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S2,output_2021_05_20_ABI_S2__Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44,3,139.0,0.35,lsa,9591.0,313.0,74.61574239929398,0.5368039021531941,0.2383889533523769,0.5368039021531941,0.5368039021531942,0.7669620744978172,0.6376835216353276,7.990479366327662,8.459374747893156,6.661633792950887,23.111487907171707,2021_05_20_ABI_S2,Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44,2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44,0.0,0.0,1.0,,,,,,,0.0,0.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S3,output_2021_05_20_ABI_S3__bot1_2021_05_20_12_35_38,8,94.0,0.35,lsa,4371.0,315.0,59.324589702425655,0.6311126564087836,0.1883320308013512,0.6311126564087836,0.6311126564087836,0.7660368052585466,0.6999428513590222,8.815711453862223,8.79672524817989,9.10674401356163,26.71918071560374,2021_05_20_ABI_S3,bot1_2021_05_20_12_35_38,2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S4,output_2021_05_20_ABI_S4__bot2p2_Zoom_Meeting_2021_05_20_12_37_07,7,165.0,0.35,lsa,13530.0,864.0,196.22009611865576,1.189212703749429,0.2271065927299256,1.189212703749429,1.1892127037494291,0.7052064537196879,1.8030166517463744,16.705342285194178,14.954938065694376,14.207421150264102,45.86770150115266,2021_05_20_ABI_S4,bot2p2_Zoom_Meeting_2021_05_20_12_37_07,2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07,1.0,1.0,2.0,,,,,,,1.0,1.0,2.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S5,output_2021_05_20_ABI_S5__bot3p2_Zoom_Meeting_2021_05_20_12_40_54,7,145.0,0.35,lsa,10440.0,727.0,137.12532325018628,0.9456918844840432,0.1886180512382204,0.9456918844840432,0.9456918844840432,0.7582328868040049,1.206998015474083,13.193185200799329,15.143300435126282,14.53577780499854,42.87226344092415,2021_05_20_ABI_S5,bot3p2_Zoom_Meeting_2021_05_20_12_40_54,2021_05_20_ABI_S5/bot3p2_Zoom_Meeting_2021_05_20_12_40_54,0.0,0.0,1.0,,,,,,,0.0,0.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S6,output_2021_05_20_ABI_S6__bot4_Breakout_Room_4_2021_05_20_12_33_49,8,135.0,0.35,lsa,9045.0,672.0,108.91666727755197,0.8067901279818664,0.1620783739249285,0.8067901279818667,0.8067901279818667,0.7909638943550422,1.2083221542315434,11.986840742253667,11.510838537419572,11.78550105542016,35.2831803350934,2021_05_20_ABI_S6,bot4_Breakout_Room_4_2021_05_20_12_33_49,2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49,0.5,1.0,2.0,,,,,,,0.5,1.0,2.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S7,output_2021_05_20_ABI_S7__botB1_2021_05_20_12_34_57,8,95.0,0.35,lsa,4465.0,281.0,43.67056805701869,0.4596901900738809,0.1554112742242658,0.4596901900738809,0.4596901900738808,0.7860197611848961,0.6802446860340747,6.668506458000304,7.389820287542935,7.002705661013403,21.06103240655664,2021_05_20_ABI_S7,botB1_2021_05_20_12_34_57,2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_20_ABI_S8,output_2021_05_20_ABI_S8__botB2_2021_05_20_12_34_37,8,202.0,0.35,lsa,20301.0,1419.0,263.2902909602603,1.3034172819814864,0.1855463643130798,1.3034172819814862,1.3034172819814864,0.8075915085622604,1.773198000238216,19.60706645478377,19.332357275321243,18.004151784430817,56.94357551453583,2021_05_20_ABI_S8,botB2_2021_05_20_12_34_37,2021_05_20_ABI_S8/botB2_2021_05_20_12_34_37,0.0,0.0,1.0,,,,,,,0.0,0.0,1.0,,entropy_with_outcomes
2021ABI,output_2021_05_21_ABI_S1,output_2021_05_21_ABI_S1__Bot_4_Breakout_Session_2_2021_05_21_10_58_43,8,173.0,0.35,lsa,14878.0,1146.0,192.3488645823177,1.1118431478746689,0.1678436863720049,1.1118431478746686,1.1118431478746686,0.7051238578947872,1.3361013597314837,16.37546198231587,16.178051872814248,16.674255489211575,49.227769344341695,2021_05_21_ABI_S1,Bot_4_Breakout_Session_2_2021_05_21_10_58_43,2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43,,,,,,,,,,,,,,unmatched
2021ABI,output_2021_05_21_ABI_S10,output_2021_05_21_ABI_S10__bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25,7,123.0,0.35,lsa,7503.0,520.0,99.22634495223984,0.8067182516442263,0.1908198941389227,0.8067182516442262,0.8067182516442263,0.7296115374303798,1.0222695425224322,12.197093735838614,11.822633945142464,10.61933831255324,34.63906599353432,2021_05_21_ABI_S10,bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25,2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25,,,,,,,,,,,,,,unmatched
2021ABI,output_2021_05_21_ABI_S11,output_2021_05_21_ABI_S11__bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16,7,149.0,0.35,lsa,11026.0,630.0,117.4860149866534,0.7884967448768685,0.186485738074053,0.7884967448768685,0.7884967448768684,0.74153027379449,1.1221006376580616,12.526024362541213,11.519722595489188,11.126923560476854,35.17267051850725,2021_05_21_ABI_S11,bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16,2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16,0.5,1.0,2.0,,,,,,,0.5,1.0,2.0,,entropy_with_outcomes
2021ABI,output_2021_05_21_ABI_S12,output_2021_05_21_ABI_S12__bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM,7,181.0,0.35,lsa,16290.0,1047.0,229.77691022998135,1.26948569187835,0.2194621874211856,1.2694856918783497,1.26948569187835,0.8424097226342686,1.5190787739791232,17.79330941940156,17.206425512309796,16.60202005231645,51.60175498402781,2021_05_21_ABI_S12,bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM,2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM,0.3333333333333333,1.0,3.0,,,,,,,0.3333333333333333,1.0,3.0,,entropy_with_outcomes
2021ABI,output_2021_05_21_ABI_S13,output_2021_05_21_ABI_S13__bot6p3_Zoom_Meeting_Room_6_2021_05_21_13_12_29,7,132.0,0.35,lsa,8646.0,467.0,94.5590132951034,0.716356161326541,0.2024818271843756,0.7163561613265411,0.7163561613265411,0.8044551699773753,0.6090624096864388,9.80059417566758,11.191559348925006,9.454030572909462,30.446184097502048,2021_05_21_ABI_S13,bot6p3_Zoom_Meeting_Room_6_2021_05_21_13_12_29,2021_05_21_ABI_S13/bot6p3_Zoom_Meeting_Room_6_2021_05_21_13_12_29,0.5,1.0,2.0,,,,,,,0.5,1.0,2.0,,entropy_with_outcomes
2021ABI,output_2021_05_21_ABI_S14,output_2021_05_21_ABI_S14__botB1_2021_05_21_13_09_38,7,90.0,0.35,lsa,4005.0,225.0,38.27322254809149,0.4252580283121276,0.170103211324851,0.4252580283121276,0.4252580283121277,0.8058947814825894,0.68027416958211,6.556498108407343,6.106965549069155,6.320474203976024,18.98393786145252,2021_05_21_ABI_S14,botB1_2021_05_21_13_09_38,2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38,0.0,0.0,3.0,,,,,,,0.0,0.0,3.0,,entropy_with_outcomes
